child_hashed_id,transcriber_id,video_duration,trial_num,question_set,question_id,riddle_start_time,riddle_stop_time,response_start_time,response_transcript,feedback_start_time,feedback_stop_time,feedback_transcript,trial_exclusion_reason,who_judged_response_similarity_during_feedback?,transcriber_comments,child_gender,age_months,child__language_list,response_category,parentCode
H7QKC6,Julio,07:53,8,viewing,keys,06:18,06:42,06:46,Because she... Because they were by her shoes!,06:52,06:59,"Mom, they said, he... *unclear audio*",include,parent,NA,m,67,en,incorrect_response,different
H7QKC6,Julio,07:53,9,viewing,cow,07:14,07:39,07:41,Because he was close.,07:45,07:54,*no reaction*,include,parent,NA,m,67,en,incorrect_response,different
TSW6JD,Julio,12:04,1,viewing,cow,00:41,01:06,01:10,"[You can click the green] *pause* [You can say your answer] I think he saw it, cause he wanted to make sure he was safe and not get his tire dirty and he didn't want to kill it [You can click next] Next? [Wait a minute. I'll go for a second so I can click]",01:31,02:00,Next [Wait a minute *pause* Play next],include,parent,NA,m,41,en,incorrect_response,different
TSW6JD,Julio,12:04,2,viewing,bedroom,02:31,02:55,02:55,"[You didn't say your answer] Uh, because the light was on. Or, then he knows where his dad was [You can click next]",03:15,03:31,Because it will break your *unclear audio* and it's so *unclear audio* [Click next. We will hear the next story],include,parent,NA,m,41,en,incorrect_response,different
TSW6JD,Julio,12:04,3,viewing,keys,03:45,04:09,04:11,"Because he dropped it and, on the way down, and she saw it. The keyring just going out. Is it next? [Yes]",04:25,04:46,"[What was your answer?] Uhmmm, she, because she saw that. She could see it. She could see... *unclear audio* [Ok, so when you are ready click next]",include,parent,NA,m,41,en,incorrect_response,similar
TSW6JD,Julio,12:04,4,container,bucket,04:59,05:14,05:22,"[What is your answer?] Because someone was out, because she all move. [Ok. Click next] I don't know. I don't know what to do. Mom, I don't know what to do. [Yes, good job. And then you can click next.]",05:52,06:08,Who's this [*unclear audio*],include,parent,NA,m,41,en,incorrect_response,different
TSW6JD,Julio,12:04,5,container,potato,06:20,06:34,06:39,"Because Tom had one, then he needed two, then one have three, that's why.",06:48,07:12,*no reaction*,include,parent,NA,m,41,en,incorrect_response,different
TSW6JD,Julio,12:04,6,container,cup,07:22,07:36,07:38,Because she didn't eat her *unclear audio* papers. That's why,07:47,08:03,*no reaction*,include,parent,NA,m,41,en,incorrect_response,different
TSW6JD,Julio,12:04,7,gender,basketball,"08:14, 08:42","08:26, 08:53",08:31,"*unclear audio* [Uhm, we'll do your answer if you need to replay you can press the blue button] *replays question* Because the football, the basketball team didn't knock down people, so that's why they got so points [Because why?] Because it... Because [And can you click next?] Because.",09:12,09:36,"Two, three, four, five, six, seven, eight, and now we've got seven! [Nice!] Seven dogs! [Good job. You click next when you're ready.]",include,parent,NA,m,41,en,incorrect_response,different
TSW6JD,Julio,12:04,8,gender,firefighter,09:57,10:11,10:13,"Maybe cause they didn't... Uh, magic [Magic? You think that's it?] Maybe cause it was magic.",10:29,10:50,"Maybe because I'm *unclear audio* [Okay, now you can click next]",include,parent,NA,m,41,en,incorrect_response,different
TSW6JD,Julio,12:04,9,gender,teacher,11:08,11:25,11:29,"Maybe she pretended she had the, uh, uh, what is it called? A stuff, and the, want to get us together, she's a teacher, that's why.",11:48,12:04,"This is for you. [Yes, it is. Thank you. Okay then you can press next.]",include,parent,NA,m,41,en,incorrect_response,different
LMUPAQ,Julio,09:33,1,container,cup,00:38,00:52,00:56,Because there was a lid.,00:58,01:12,*no reaction*,include,parent,NA,m,88,en,incorrect_response,different
LMUPAQ,Julio,09:33,2,container,potato,"01:27, 02:05","01:42, 02:20",01:46,I'm not sure [Just guess] This is the best one? [Just guess. Do you want to hear it again?] *replays question* Because it's a bigger bag.,02:27,02:39,*no reaction*,include,parent,NA,m,88,en,incorrect_response,different
LMUPAQ,Julio,09:33,3,container,bucket,"02:50, 03:32","03:06, 03:47",03:06,"[Answer first] I don't know again [Guess] Okay, fine. I forgot to... What was in the bucket [Listen] *replays question* Because there's no water inside.",03:53,04:05,*no reaction*,include,parent,NA,m,88,en,target_solution,similar
LMUPAQ,Julio,09:33,4,gender,firefighter,04:17,04:31,04:32,I think... He's the cousin?,04:37,04:49,*no reaction*,include,parent,NA,m,88,en,incorrect_response,different
LMUPAQ,Julio,09:33,5,gender,teacher,05:01,05:19,05:26,"I don't think she's... Uhm, I just don't know this again [Try to give it a guess?] Because she's his mother?",05:49,06:00,*no reaction*,include,parent,NA,m,88,en,incorrect_response,different
LMUPAQ,Julio,09:33,6,gender,basketball,06:10,06:22,06:24,Because it was a girl's team?,06:25,06:38,*no reaction*,include,parent,NA,m,88,en,target_solution,similar
LMUPAQ,Julio,09:33,7,viewing,cow,06:47,07:13,07:17,With a flashlight?,07:21,07:35,*no reaction*,include,parent,NA,m,88,en,incorrect_response,different
LMUPAQ,Julio,09:33,8,viewing,bedroom,07:50,08:14,08:20,Maybe of the sunrise?,08:23,08:38,*no reaction*,include,parent,NA,m,88,en,target_solution,similar
LMUPAQ,Julio,09:33,9,viewing,keys,08:50,09:14,09:17,Because of her other sense of feeling?,09:21,09:33,Ahhh. [Ouch!],include,parent,NA,m,88,en,incorrect_response,different
7CNLEB,Cecilia,09:39,2,container,cup,02:04,02:18,02:19,"[you to answer the question out loud.] Oh, I thought I thought it was a next. [No] I thought you did didn't need it. [Nope.] I thought you like entered on the next page. [Nope. So every time you get your question say it out loud, okay?] Ok. *replays question* There's no water in it. [There was no water in it?] Yeah. It should be cut.",02:23,02:37,Wow.,include,parent,NA,f,84,en so,incorrect_response,similar
7CNLEB,Cecilia,09:39,3,container,potato,02:52,03:06,02:43,"There's no sloth. [how can that be?] Because she has more potatoes than he does. [She has more what?] Potatoes than he does in his bag. [Gotcha, Okay, here she has more potatoes.]",03:24,03:35,*laugh* that's the same thing I did.,include,parent,NA,f,84,en so,alternative_solution,similar
7CNLEB,Cecilia,09:39,4,viewing,keys,03:47,04:11,04:13,"[No, no, no. Say it out loud. How can she see her keys?] Because they're a different color? [okay.]",04:25,04:36,"Different. [okay, next one.]",include,parent,NA,f,84,en so,incorrect_response,different
7CNLEB,Cecilia,09:39,5,viewing,cow,04:51,05:16,05:18,Because he was far away. [Far away?] yeah.,05:28,05:41,"Oh, I think something different.",include,parent,NA,f,84,en so,incorrect_response,different
7CNLEB,Cecilia,09:39,6,viewing,bedroom,05:50,06:14,06:16,"Because he was actually running fast, slow running instead of in his...",06:34,06:48,"Oh, I just found a different,",include,parent,NA,f,84,en so,incorrect_response,different
7CNLEB,Cecilia,09:39,7,gender,firefighter,07:03,07:16,07:16,Because they're not brothers. [What are they then?] they're friends!,07:24,07:35,Uhhh,include,parent,NA,f,84,en so,incorrect_response,different
7CNLEB,Cecilia,09:39,8,gender,teacher,07:49,08:06,08:11,"Because the teacher's lying! [Okay, teacher's lying.]",08:18,08:28,Ohhh,include,parent,NA,f,84,en so,alternative_solution,different
7CNLEB,Cecilia,09:39,9,gender,basketball,08:43,08:55,08:54,"Because of girl, there are only girls!",09:00,09:09,*no reaction*,include,parent,NA,f,84,en so,target_solution,similar
N75ccH,Janie,11:38,1,viewing,bedroom,"00:39, 01:23","01:03, 01:47",01:06,[What do you think?] What was the question? [Do you want to replay it again so you can listen again? Hit the replay button. Listen carefully and then say the answer aloud.] *replays question* [What do you think? Just guess. Give a guess.] *unclear audio* Okay? I just don't know. I just don't know. [You can't think of any ways?] You just say it. Okay? [There's no right or wrong answers. You just have to take a guess.] I don't know. [Can you think of any ways that might be possible?] No. He just got in the bed.,02:17,02:40,"[Just think, listen carefully.] Don't, undo unanswered. I answered something different. [You just said he got to bed, you didn't really give an answer for that one.] I do!",include,parent,NA,f,81,en,incorrect_response,no_answer
N75ccH,Janie,11:38,2,viewing,cow,"02:57, 03:37","03:22, 04:03",03:23,"[You need to replay, you got to say an answer. Don't hit next until you say an answer.] Okay, what was it? [Do you need to listen again?] You don't have an answer? [No, hit the replay button.] *replays question* With his eyes.",04:10,04:26,"Then why did they say it was dark out? [They didn't say that.] Yes, they did. [You said that. Listen, listen carefully to the whole thing.] *frustrated*",include,parent,NA,f,81,en,incorrect_response,different
N75ccH,Janie,11:38,3,viewing,keys,04:42,05:06,05:11,Emmmmm... [Just take a guess.] Cause she just did?,05:29,05:45,*stresses* This is so hard. [Just think from question to question. Just think about it.],include,parent,NA,f,81,en,incorrect_response,no_answer
N75ccH,Janie,11:38,4,gender,basketball,05:57,06:09,06:15,Because they weren't a couple days ago.,06:20,06:36,*stresses* I hate this.,include,parent,NA,f,81,en,incorrect_response,different
N75ccH,Janie,11:38,5,gender,teacher,06:51,07:08,07:14,"Um, I don't, because... she forgot.",07:26,07:37,"*stresses* *hits table* [Just really, it's okay, this is supposed to be tricky.] *sticking tongue out*",include,parent,NA,f,81,en,incorrect_response,different
N75ccH,Janie,11:38,6,gender,firefighter,07:51,08:04,08:07,Um... I don't want to. Because they work together.,08:18,08:30,"*stresses and frustrated* [Really, there is no right or wrong answers.] Yes there is. [These are just the answers the animals are saying. You seem very frustrated. You're not getting them wrong. Alright, do you want to take a rest?]",include,parent,NA,f,81,en,incorrect_response,different
N75ccH,Janie,11:38,7,container,bucket,08:48,09:04,09:13,Because the carpet didn't get wet.,09:16,09:27,"*stresses and frustrated* I hate this. [Come on, come on, look. Come on. Just two more.]",include,parent,NA,f,81,en,incorrect_response,different
N75ccH,Janie,11:38,8,container,cup,09:43,09:57,09:57,Because there was no water in it.,10:02,10:18,*stresses* [That's what you said.] *unclear audio*,include,parent,NA,f,81,en,target_solution,similar
N75ccH,Janie,11:38,9,container,potato,"10:36, 11:01","10:50, 11:16",10:51,Do they have the same amount? [I don't know. Do you want to re-listen to it?] *replays question* Because his has more potatoes.,11:25,11:39,[You got it. Is there some more?] No. [*unclear audio*],include,parent,NA,f,81,en,incorrect_noresponse,similar
RVKM6R,Janie,10:23,1,container,potato,"00:38, 01:09","00:53, 01:24",01:27,[How could this be? Take a guess.] More. [More what?] Potatoes. [There are more potatoes?],01:35,01:54,"He's just kidding. [He had no potatoes in his bags, so he only had three empty bags. That's so silly.]",include,parent,NA,f,48,en fr,alternative_solution,different
RVKM6R,Janie,10:23,2,container,cup,02:15,02:29,02:39,[Take a guess.] I don't know. [Take a guess. Any guess] Maybe potatoes. [Maybe potatoes?],02:48,03:02,*starts to laugh* [So silly.],include,parent,NA,f,48,en fr,incorrect_response,different
RVKM6R,Janie,10:23,3,container,bucket,03:14,03:29,03:29,"Why do you think so? I don't know. [Why did the floor not get wet?] I don't know. [Think.] Maybe a bucket of a little, maybe there's poo poo in it. [There's poo poo in the bucket?] Yeah. [And not, so no water just poo poo.] Yeah. [Oh dear, you're so silly.]",03:50,04:07,"*laughs* [I guess you're right. The bucket had no water. You had poo poo inside, so you got poo poo all over the ground? You're so silly.]",include,parent,NA,f,48,en fr,incorrect_response,different
RVKM6R,Janie,10:23,4,viewing,keys,04:19,04:44,04:44,"I don't know. [How can she see her keys?] Flashlight? Flashlight? [I don't think so, you weren't listening.] I was.",04:52,05:06,"[Ha ha. The sun was still out, it wasn't dark yet. You're so silly.]",include,parent,NA,f,48,en fr,incorrect_response,different
RVKM6R,Janie,10:23,5,viewing,bedroom,05:19,05:43,05:43,I don't know. Maybe a daddy came? [A daddy came.],05:50,06:02,[It was bright inside his room. It wasn't a night time yet.],include,parent,NA,f,48,en fr,alternative_solution,different
RVKM6R,Janie,10:23,6,viewing,cow,06:13,06:38,06:40,"[How can the driver see the cow? Think.] Maybe a flashlight. [A flashlight again?] No, maybe a flashlight jacket?",06:53,07:04,"[It's a daytime again, you silly monkey.] No, it's not. [No, it's day time. They said it was day time.]",include,parent,NA,f,48,en fr,alternative_solution,different
RVKM6R,Janie,10:23,7,gender,firefighter,07:17,07:30,07:32,"Maybe a.. [Brother. How can this be?] Maybe a flower. [Flower? Not a brother but a flower? I don't think so, you can't be someone's flower.] Yeah. [Are you just being silly now?] i don't know. [Listen.]",07:54,08:06,"[Sister! Like you!] I'm not a younger sister. [You're the younger sister.] No, I don't want to be. [You're not a sister?] I don't want to be a younger sister. I'm a big girl. [Yeah, but you're younger than Natty, so you're her younger sister. It doesn't mean you're not a big girl.]",include,parent,NA,f,48,en fr,incorrect_response,different
RVKM6R,Janie,10:23,8,gender,basketball,08:28,08:40,08:45,Maybe a picture? [So who scored?] The baby scored. [The baby scored?] Yeah. [The baby's on Lily's team?] Yeah. [Ay -yay -yay.],08:57,09:10,[All the points are scored by the girls.  Come on Abigail.],include,parent,NA,f,48,en fr,incorrect_response,different
RVKM6R,Janie,10:23,9,gender,teacher,09:25,09:42,09:44,[The artist has no sisters. How can this be? Think.] I don't know. [Think think think. think what do think is the right answer?] Maybe a bucket of water did that. [But we're talking about the teacher. Why is the artist not have no sisters?] I don't know. Because a cup? Or bear?,10:12,10:23,[It's a brother. You monkey brain.],include,parent,NA,f,48,en fr,incorrect_noresponse,no_answer
CPBLHd,Kacper,08:49,1,gender,basketball,00:51,01:02,01:07,[How could that be? Do you have an answer?] Maybe rabbit [Ok],01:15,01:28,*no reaction*,include,parent,NA,m,45,en,incorrect_response,different
CPBLHd,Kacper,08:49,3,gender,teacher,02:35,02:52,02:55,[What's your answer?] Koala,02:59,03:17,Piggy!,include,parent,"Child did not provide any defined words, just sounds.",m,45,en,incorrect_response,different
CPBLHd,Kacper,08:49,4,viewing,keys,03:28,03:52,03:55,[What's your answer?] Piggy! [Alright],04:00,04:12,*no reaction*,include,parent,NA,m,45,en,incorrect_response,different
CPBLHd,Kacper,08:49,5,viewing,bedroom,04:32,04:56,04:58,[What's your answer?] Monkey!,05:03,05:17,"*no reaction*, *small laugh from the parent, whispering and joking about the child's answer with a third person* [3rd person: Monkey?] [Yeah, he's (hard?) *unclear audio*]",include,parent,NA,m,45,en,incorrect_response,different
CPBLHd,Kacper,08:49,6,viewing,cow,05:28,05:54,05:57,[What's yout answer?] Monkey! [Alright] Penguin,06:01,06:13,*no reaction*,include,parent,NA,m,45,en,incorrect_response,different
CPBLHd,Kacper,08:49,7,container,bucket,06:25,06:40,06:46,[What's your answer?] A teddy bear [Alright],06:49,07:01,*no reaction*,include,parent,NA,m,45,en,incorrect_response,different
CPBLHd,Kacper,08:49,8,container,cup,07:15,07:29,07:31,"[What do you think?] The bear, the (beer?), the (beer?). [Alright.]",07:36,07:52,*no reaction*,include,parent,NA,m,45,en,incorrect_response,different
CPBLHd,Kacper,08:49,9,container,potato,08:08,08:23,08:25,[What do you think? *pause/silence* You got an answer?] *pause* Hippo. [Alright],08:37,08:49,*no reaction*,include,parent,NA,m,45,en,incorrect_response,different
73VNMT,Janie,12:53,1,viewing,cow,"00:41, 01:28","01:07, 01:53",01:25,"[Do you want to listen to it again?] I, I can't, I just need... [Let's try listening to it again. It was a lot and then you can tell what you think.] *replays question* I don't know. [That's okay. It's okay to guess. So you can say anything that you're thinking.] Um, I don't, I'm thinking I don't know. [Okay.]",02:15,02:30,[Are you ready for the next one?] Yeah.,include,parent,NA,f,64,en,incorrect_noresponse,no_answer
73VNMT,Janie,12:53,2,viewing,keys,02:49,03:13,03:15,"Because the moon wasn't out yet. Bcause it was, because it was not nighttime yet. [Anything else to add?] No.",03:32,03:44,"*smiles* [Yeah, that was the same as what you said.]",include,parent,NA,f,64,en,target_solution,similar
73VNMT,Janie,12:53,3,viewing,bedroom,04:06,04:30,04:35,Because he was fast. [Do you have anything else to add?] No.,04:45,04:59,[Do we keep going?] I'm ready.,include,parent,NA,f,64,en,incorrect_response,different
73VNMT,Janie,12:53,4,gender,teacher,"05:18, 05:51","05:36, 06:08",05:41,"[Do you want to hear it again?] I, I don't know. [Listen to it again.] *replays* I don't know.",06:15,06:27,*no reaction*,include,parent,NA,f,64,en,incorrect_noresponse,no_answer
73VNMT,Janie,12:53,5,gender,basketball,06:42,06:54,06:57,"I don't know. [Do you want to listen to it again?] No. [You can guess.] Be, Because there was girls at that team. [Can you say a little bit more?] Because I don't have anything else. [Can you just say it again? A little clearer?] Because they only had girls on the team.",07:52,08:06,"*brother standing next says, how can it say the same thing now that other person said?*",include,parent,NA,f,64,en,target_solution,similar
73VNMT,Janie,12:53,6,gender,firefighter,08:19,08:33,08:33,Because it was the sister.,08:39,08:51,[Great.] Same as me. [Same as you.],include,parent,NA,f,64,en,target_solution,similar
73VNMT,Janie,12:53,7,container,bucket,09:05,09:21,09:22,"Um, because, because there was no water in it.",09:30,09:43,[Nice job.] *smiles*,include,parent,NA,f,64,en,target_solution,similar
